vx,vy,vz,omega_z
-0.024805002,0.166348,0.001375528,-0.27912945
-0.025608726,0.17062192,4.451908e-05,-0.2886675
-0.023906652,0.17392163,0.0017105956,-0.29400557
-0.022235822,0.17364271,0.0022698212,-0.29663074
-0.020664591,0.16904628,0.003784733,-0.28969154
-0.020996679,0.16810776,0.0033264477,-0.29324993
-0.020974796,0.16878656,0.004151361,-0.29301542
-0.019838028,0.164192,0.0028657708,-0.28932813
-0.020226948,0.16449742,0.0053599346,-0.28227624
-0.019460246,0.16257034,0.0031873975,-0.28049815
-0.019392602,0.16128571,0.0019409228,-0.2800368
-0.018981751,0.1580008,0.002505662,-0.27983505
-0.019121185,0.15583676,0.005015591,-0.27148032
-0.018260933,0.15693544,0.004770169,-0.27329975
-0.017770909,0.15657726,0.004398221,-0.27757984
-0.018988855,0.15975218,0.0043606106,-0.28168848
-0.016994387,0.16012521,0.0054494385,-0.28245914
-0.016197521,0.16282542,0.0070346836,-0.28861213
-0.015356872,0.16472243,0.0058945064,-0.29593027
-0.015078817,0.16952904,0.0071948934,-0.29787153
-0.0140785575,0.16323991,0.0054512415,-0.28867447
-0.016538855,0.16069888,0.0052658785,-0.288527
-0.013483789,0.15086292,0.0057043005,-0.27868176
-0.0145024955,0.14690022,0.004028121,-0.27776748
-0.011415675,0.14157844,0.0035632867,-0.28196794
-0.011273313,0.13713425,0.0038887728,-0.28400266
-0.010620099,0.13529776,0.0023006294,-0.28566137
-0.011825979,0.13288005,0.0014986787,-0.2823182
-0.013195645,0.134469,0.00076963194,-0.2843861
-0.012863636,0.13394344,-0.00041942112,-0.281298
-0.012919355,0.13197643,-0.0009004902,-0.28280374
-0.012917031,0.13001594,0.00084316917,-0.27740595
